# V* for mitchell_32x32_factorized backend=sdd gamma=0.9 eps=0.01
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=1, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 31.381060
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=1, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 28.242954
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=1, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 25.418658
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=1, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 22.876792
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=1, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 20.589113
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=1, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 18.530202
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=1, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 16.677182
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=1, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 15.009464
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=0, y(20,0)=1, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 13.508517
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=0, y(2,0)=1, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 2.027556
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=0, y(19,0)=1, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 12.157665
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(13,0)=0, x(14,0)=0, x(15,0)=0, x(16,0)=0, x(17,0)=0, x(18,0)=0, x(19,0)=0, x(2,0)=0, x(20,0)=0, x(21,0)=0, x(22,0)=0, x(23,0)=0, x(24,0)=0, x(25,0)=0, x(26,0)=0, x(27,0)=0, x(28,0)=0, x(29,0)=0, x(3,0)=0, x(30,0)=0, x(31,0)=0, x(32,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(13,0)=0, y(14,0)=0, y(15,0)=0, y(16,0)=0, y(17,0)=0, y(18,0)=1, y(19,0)=0, y(2,0)=0, y(20,0)=0, y(21,0)=0, y(22,0)=0, y(23,0)=0, y(24,0)=0, y(25,0)=0, y(26,0)=0, y(27,0)=0, y(28,0)=0, y(29,0)=0, y(3,0)=0, y(30,0)=0, y(31,0)=0, y(32,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 10.941899
